title,year,km,price,fuel,transmission,power,body_type,listing_date,url,search_query,search_page
Škoda Kodiaq 2.0 TDI SCR EVO Ambition DSG 110kW150HP A7,2023.0,105673.0,24999,Diesel,7-st. automatická,110.0,SUV / Off-road,2026-07-13T16:31:20.532Z,https://www.autobazar.eu/detail/skoda-kodiaq-20-tdi-scr-evo-ambition-dsg-110kw150hp-a7/AebRurMNPW0/,Škoda Kodiaq 2.0 TDI,2
Škoda Kodiaq 2.0 TDI SCR 190k LK DSG 4x4 140kW190HP A7,2019.0,126000.0,23950,Diesel,Automatická,140.0,SUV / Off-road,2026-08-10T09:45:15.413Z,https://www.autobazar.eu/detail/skoda-kodiaq-20-tdi-scr-190k-lk-dsg-4x4-140kw190hp-a7/Ae1AIGjHjJe/,Škoda Kodiaq 2.0 TDI,2
Škoda Kodiaq 2.0 TDI SCR EVO 200 LK 4x4 DSG 147kW201HP A7,2022.0,75000.0,37990,Diesel,7-st. automatická,147.0,SUV / Off-road,2026-08-09T20:46:54.507Z,https://www.autobazar.eu/detail/skoda-kodiaq-20-tdi-scr-evo-200-lk-4x4-dsg-147kw201hp-a7/AePiuTDNQAd/,Škoda Kodiaq 2.0 TDI,2
Škoda Kodiaq 2.0 TDI SCR EVO 200 LK 4x4 DSG 147kW201HP A7,2024.0,37200.0,36500,Diesel,7-st. automatická,147.0,SUV / Off-road,2026-08-08T14:07:16.751Z,https://www.autobazar.eu/detail/skoda-kodiaq-20-tdi-scr-evo-200-lk-4x4-dsg-147kw201hp-a7/AeU1BcFdPLq/,Škoda Kodiaq 2.0 TDI,2
"Škoda Kodiaq 2.0 TDI Sportline 4x4 DSG 147kW201HP A7, 7miestne",2024.0,21052.0,48900,Diesel,7-st. automatická,142.0,SUV,2026-08-06T05:08:02.503Z,https://www.autobazar.eu/detail/skoda-kodiaq-20-tdi-scr-evo-200-sportline-4x4-dsg-147kw201hp-a7/AeFwxoljVVj/,Škoda Kodiaq 2.0 TDI,2
Škoda Kodiaq 2.0 TDI SCR EVO 200 LK 4x4 DSG 147kW201HP A7,2022.0,51000.0,19700,Diesel,7-st. automatická,147.0,SUV / Off-road,2026-08-09T15:58:55.778Z,https://www.autobazar.eu/detail/skoda-kodiaq-20-tdi-scr-evo-200-lk-4x4-dsg-147kw201hp-a7/Ae6W0jMCEOv/,Škoda Kodiaq 2.0 TDI,2
Škoda Kodiaq 2.0 TDI SCR EVO Sportline DSG 110kW150HP A7,2023.0,112000.0,27500,Diesel,Automatická,110.0,SUV / Off-road,2026-08-06T05:56:14.361Z,https://www.autobazar.eu/detail/skoda-kodiaq-20-tdi-scr-evo-sportline-dsg-110kw150hp-a7/Ae7dE07zp2G/,Škoda Kodiaq 2.0 TDI,2
Škoda Kodiaq 2.0 TDI SCR EVO Final Edition DSG 110kW150HP A7,2024.0,22000.0,32850,Diesel,7-st. automatická,110.0,SUV / Off-road,2026-08-10T13:41:57.092Z,https://www.autobazar.eu/detail/skoda-kodiaq-2024/Aet6_0kH4UK/,Škoda Kodiaq 2.0 TDI,2
Škoda Kodiaq 2.0 TDI SCR 190k Sportline DSG 4x4,2019.0,175550.0,24999,Diesel,7-st. automatická,140.0,SUV,2026-08-10T10:36:41.126Z,https://www.autobazar.eu/detail/skoda-kodiaq-20-tdi-scr-190k-sportline-dsg-4x4/Ae_Vx3YlDhG/,Škoda Kodiaq 2.0 TDI,2
Škoda Kodiaq 2.0 TDI SCR EVO Style DSG 110 kW150HP A7 WEBASTO TAZNE,2023.0,172000.0,23690,Diesel,7-st. automatická,110.0,SUV / Off-road,2026-07-30T20:02:49.103Z,https://www.autobazar.eu/detail/skoda-kodiaq-20-tdi-scr-evo-style-dsg-110-kw150hp-a7-webasto-tazne/Ae5kK4yN2Ep/,Škoda Kodiaq 2.0 TDI,2
Škoda Kodiaq 2.0 TDI SCR 190k Style DSG 4x4 140kW190HP A7,2017.0,177000.0,21790,Diesel,Automatická,140.0,SUV / Off-road,2026-08-01T08:22:45.081Z,https://www.autobazar.eu/detail/skoda-kodiaq-20-tdi-scr-190k-style-dsg-4x4-140kw190hp-a7/AexzmuwFlAM/,Škoda Kodiaq 2.0 TDI,2
Škoda Kodiaq 2.0 TDI SCR RS DSG 4x4 176kW239HP A7,2020.0,137400.0,32900,Diesel,7-st. automatická,176.0,SUV / Off-road,2026-07-01T07:26:04.133Z,https://www.autobazar.eu/detail/skoda-kodiaq-20-tdi-scr-rs-dsg-4x4-176kw239hp-a7/Ae_Yc8JdD-u/,Škoda Kodiaq 2.0 TDI,2
Škoda Kodiaq 2.0 TDI SCR 190k Style DSG 4x4 140kW190HP A7,2020.0,113000.0,23990,Diesel,Automatická,140.0,SUV / Off-road,2026-07-28T20:41:13.365Z,https://www.autobazar.eu/detail/skoda-kodiaq-20-tdi-scr-190k-style-dsg-4x4-140kw190hp-a7/AeE3HWTL-Iq/,Škoda Kodiaq 2.0 TDI,2
Škoda Kodiaq Scout SUV 4x4 2.0 TDi 140kw AT 7,2020.0,77200.0,25900,Diesel,7-st. automatická,140.0,SUV,2026-06-30T20:25:01.555Z,https://www.autobazar.eu/detail/skoda-kodiaq-scout-suv-4x4-20-tdi-140kw-at-7/AeVuCs42yZY/,Škoda Kodiaq 2.0 TDI,2
Škoda Kodiaq 2.0 TDI SCR EVO 200 Style 4x4 DSG 147kW201HP A7,2021.0,68300.0,29999,Diesel,7-st. automatická,147.0,SUV / Off-road,2026-07-27T15:51:43.606Z,https://www.autobazar.eu/detail/skoda-kodiaq-20-tdi-scr-evo-200-style-4x4-dsg-147kw201hp-a7/AewC-L76nJf/,Škoda Kodiaq 2.0 TDI,2
Škoda Kodiaq 2.0 TDI SCR Ambition DSG 110kW150HP A7,2020.0,158800.0,21990,Diesel,7-st. automatická,110.0,SUV / Off-road,2026-07-27T13:08:59.261Z,https://www.autobazar.eu/detail/skoda-kodiaq-20-tdi-scr-ambition-dsg-110kw150hp-a7/AeOzeRCjmTp/,Škoda Kodiaq 2.0 TDI,2
Škoda Kodiaq 2.0 TDI SCR EVO 200 Style 4x4 DSG 147kW201HP A7,2022.0,102000.0,28500,Diesel,7-st. automatická,147.0,SUV / Off-road,2026-07-27T07:26:27.609Z,https://www.autobazar.eu/detail/skoda-kodiaq-20-tdi-scr-evo-200-style-4x4-dsg-147kw201hp-a7/Aeo0mdiZG5G/,Škoda Kodiaq 2.0 TDI,2
