title,year,km,price,fuel,transmission,power,body_type,listing_date,url,source_page,kept,filter_reason
"Škoda Kodiaq 2.0 TDI Top Stav, Style, DSG",2022,139800,22800,Diesel,7-st. automatická,110,SUV,2026-08-08T10:51:41.000Z,https://www.autobazar.eu/detail/skoda-kodiaq-20-tdi-scr-evo-style-dsg/AmcMGRQjfWD/,2,True,
Škoda Kodiaq 2.0 TDI Štýle Virtual 7 miestne,2024,87600,27990,Diesel,7-st. automatická,110,SUV,2026-08-09T09:30:16.000Z,https://www.autobazar.eu/detail/skoda-kodiaq-20-tdi-scr-evo-style-dsg/AmBf89_EGH4/,2,True,
Škoda Kodiaq 2.0 TDI SCR Style DSG 110kW150HP A7,2018,120000,20000,Diesel,7-st. automatická,110,SUV / Off-road,2026-07-29T22:14:54.180Z,https://www.autobazar.eu/detail/skoda-kodiaq-20-tdi-scr-style-dsg-110kw150hp-a7/Ae243k3Ae3D/,2,True,
Škoda Kodiaq 1.5 TSI ACT Sportline DSG 110kW150HP A7---7.MIESTNE---,2021,176248,22900,Benzín,7-st. automatická,110,SUV / Off-road,2026-08-08T07:12:43.569Z,https://www.autobazar.eu/detail/skoda-kodiaq-15-tsi-act-sportline-dsg-110kw150hp-a7-7miestne/AePPdMWwy7E/,2,False,"fuel_mismatch(got=Benzín, want=Diesel)"
Škoda Kodiaq 2.0 TDI SCR EVO Joy Plus DSG 110kW150HP A7,2022,137782,23300,Diesel,7-st. automatická,110,SUV / Off-road,2026-08-08T08:20:42.718Z,https://www.autobazar.eu/detail/skoda-kodiaq-20-tdi-scr-evo-joy-plus-dsg-110kw150hp-a7/Aekmlifc04q/,2,True,
Škoda Kodiaq 2.0 TDI SCR EVO Active DSG 110kW150HP A7,2021,130671,23900,Diesel,7-st. automatická,110,SUV / Off-road,2026-08-08T07:12:43.569Z,https://www.autobazar.eu/detail/skoda-kodiaq-20-tdi-scr-evo-active-dsg-110kw150hp-a7/Ae6qFauHQtu/,2,True,
Škoda Kodiaq 2.0 TDI SCR RS DSG 4x4 176kW239HP A7,2020,226000,22999,Diesel,7-st. automatická,176,SUV / Off-road,2026-06-02T10:30:56.917Z,https://www.autobazar.eu/detail/skoda-kodiaq-20-tdi-scr-rs-dsg-4x4-176kw239hp-a7/AeduZVyHNG1/,2,True,
Škoda Kodiaq 2.0 TDI SCR EVO Ambition DSG 110kW150HP A7,2023,105673,24999,Diesel,7-st. automatická,110,SUV / Off-road,2026-07-13T16:31:20.532Z,https://www.autobazar.eu/detail/skoda-kodiaq-20-tdi-scr-evo-ambition-dsg-110kw150hp-a7/AebRurMNPW0/,2,True,
Škoda Kodiaq 2.0 TDI SCR 190k LK DSG 4x4 140kW190HP A7,2019,126000,23950,Diesel,Automatická,140,SUV / Off-road,2026-08-10T09:45:15.413Z,https://www.autobazar.eu/detail/skoda-kodiaq-20-tdi-scr-190k-lk-dsg-4x4-140kw190hp-a7/Ae1AIGjHjJe/,2,True,
Škoda Kodiaq 2.0 TDI SCR EVO 200 LK 4x4 DSG 147kW201HP A7,2022,75000,37990,Diesel,7-st. automatická,147,SUV / Off-road,2026-08-09T20:46:54.507Z,https://www.autobazar.eu/detail/skoda-kodiaq-20-tdi-scr-evo-200-lk-4x4-dsg-147kw201hp-a7/AePiuTDNQAd/,2,True,
