source,listing_id,title,brand,model,variant_engine,fuel,year,km,power_kw,transmission,body_type,price,url,year_source,km_source,power_source,transmission_source,fuel_source,body_type_source,engine_source,rule_model,rule_fuel,rule_variant,rule_year,rule_km,rule_power,rule_transmission
bazos,194346504,Škoda Kodiaq SPORTLINE 2022 2.0tdi 110kw DSG WEBASTO ŤAŽNÉ,Škoda,Kodiaq,2.0 TDI,Diesel,2022.0,,110.0,Automatic,SUV,27990,https://auto.bazos.sk/inzerat/194346504/skoda-kodiaq-sportline-2022-20tdi-110kw-dsg-webasto-tazne.php,regex_description,missing,regex_description,regex_description,regex_description,regex_description,regex_description,match,match,n/a,match,unknown,n/a,n/a
bazos,194186650,"✅️Škoda Kodiaq L&K 2.0.TDI 147KW 4X4 ,2023,7-Miest,Ťažné✅️",Škoda,Kodiaq,,Diesel,,,147.0,,,33990,https://auto.bazos.sk/inzerat/194186650/skoda-kodiaq-lk-20tdi-147kw-4x4-20237-miestfull.php,missing,missing,regex_title,missing,regex_title,missing,missing,match,match,n/a,unknown,unknown,n/a,n/a
bazos,194186825,ŠKODA KODIAQ  FACELIFT 2.0 TDI 110KW 4x4DSG 4x4,Škoda,Kodiaq,2.0 TDI,Diesel,2022.0,142600.0,110.0,,,24900,https://auto.bazos.sk/inzerat/194186825/skoda-kodiaq-facelift-20-tdi-110kw-4x4dsg-4x4.php,regex_description,regex_description,regex_description,missing,regex_title,missing,regex_title,match,match,n/a,match,match,n/a,n/a
bazos,194250062,Škoda Kodiaq  facelift 2.0 TDI 4x4 model 2023,Škoda,Kodiaq,2.0 TDI,Diesel,2023.0,180000.0,110.0,Automatic,,22000,https://auto.bazos.sk/inzerat/194250062/skoda-kodiaq-20-tdi-4x4-model-2023.php,regex_description,regex_description,regex_description,regex_description,regex_description,missing,regex_description,match,match,n/a,match,match,n/a,n/a
bazos,194461398,Škoda Kodiaq RS-2.0 TDI-176kw-4x4-DSG-88000km-1.majiteľ,Škoda,Kodiaq,2.0 TDI,Diesel,,88000.0,176.0,Automatic,SUV,29990,https://auto.bazos.sk/inzerat/194461398/skoda-kodiaq-rs-20-tdi-176kw-4x4-dsg-88000km-1majitel.php,missing,regex_description,regex_title,regex_title,regex_title,regex_description,regex_title,match,match,n/a,unknown,match,n/a,n/a
bazos,193678668,Škoda Kodiaq 2.0 TDi DSG - 110 kW - 2023 - Style,Škoda,Kodiaq,2.0 TDI,Diesel,2023.0,99000.0,110.0,Automatic,,24999,https://auto.bazos.sk/inzerat/193678668/skoda-kodiaq-20-tdi-dsg-110-kw-2023-style.php,regex_description,regex_description,regex_description,regex_description,regex_description,missing,regex_description,match,match,n/a,match,match,n/a,n/a
bazos,194397427,"Škoda Kodiaq Sportline 4x4, r.2023, 119tis km",Škoda,Kodiaq,2.0 TDI,Diesel,2023.0,119000.0,147.0,Automatic,,30990,https://auto.bazos.sk/inzerat/194397427/skoda-kodiaq-sportline-4x4-r2023-119tis-km.php,regex_description,regex_description,regex_description,regex_description,regex_description,missing,regex_description,match,match,n/a,match,match,n/a,n/a
bazos,194032429,ŠKODA KODIAQ 2.0 TDI SCR EVO STYLE DSG,Škoda,Kodiaq,2.0 TDI,Diesel,2022.0,155967.0,110.0,Automatic,,21900,https://auto.bazos.sk/inzerat/194032429/skoda-kodiaq-20-tdi-scr-evo-style-dsg.php,regex_description,regex_description,regex_description,regex_title,regex_description,missing,regex_title,match,match,n/a,match,match,n/a,n/a
bazos,194185461,"Škoda Kodiaq 2.0 TDi DSG Style 4x4 - Automat, Diesel 140 kW",Škoda,Kodiaq,2.0 TDI,Diesel,2019.0,113000.0,140.0,Automatic,,23990,https://auto.bazos.sk/inzerat/194185461/skoda-kodiaq-20-tdi-dsg-style-4x4-automat-diesel-140-kw.php,regex_description,regex_description,regex_description,regex_description,regex_description,missing,regex_description,match,match,n/a,match,match,n/a,n/a
bazos,193648886,Škoda Kodiaq 2.0TDI 4x4 147kw Full led Navi F1 DPH%,Škoda,Kodiaq,2.0 TDI,Diesel,2023.0,162000.0,147.0,Automatic,,24500,https://auto.bazos.sk/inzerat/193648886/skoda-kodiaq-20tdi-4x4-147kw-full-led-navi-f1-dph.php,regex_description,regex_description,regex_description,regex_description,regex_description,missing,regex_description,match,match,n/a,match,match,n/a,n/a
bazos,193628286,Škoda KODIAQ Clever 2.0TDi DSG 110kW,Škoda,Kodiaq,2.0 TDI,Diesel,2022.0,119000.0,110.0,Automatic,,24790,https://auto.bazos.sk/inzerat/193628286/skoda-kodiaq-clever-20tdi-dsg-110kw.php,regex_description,regex_description,regex_description,regex_title,regex_description,missing,regex_title,match,match,n/a,match,match,n/a,n/a
