source,listing_id,title,brand,model,variant_engine,fuel,year,km,power_kw,transmission,body_type,price,url,year_source,km_source,power_source,transmission_source,fuel_source,body_type_source,engine_source,rule_model,rule_fuel,rule_variant,rule_year,rule_km,rule_power,rule_transmission
autobazar,Ae_Yc8JdD-u,Škoda Kodiaq 2.0 TDI SCR RS DSG 4x4 176kW239HP A7,Škoda,Kodiaq,2.0 TDI,Diesel,2020,137400,176,Automatic,SUV / Off-road,32900,https://www.autobazar.eu/detail/skoda-kodiaq-20-tdi-scr-rs-dsg-4x4-176kw239hp-a7/Ae_Yc8JdD-u/,structured,structured,structured,structured,structured,structured,regex_title,match,match,n/a,match,match,n/a,n/a
autobazar,AeE3HWTL-Iq,Škoda Kodiaq 2.0 TDI SCR 190k Style DSG 4x4 140kW190HP A7,Škoda,Kodiaq,2.0 TDI,Diesel,2020,113000,140,Automatic,SUV / Off-road,23990,https://www.autobazar.eu/detail/skoda-kodiaq-20-tdi-scr-190k-style-dsg-4x4-140kw190hp-a7/AeE3HWTL-Iq/,structured,structured,structured,structured,structured,structured,regex_title,match,match,n/a,match,match,n/a,n/a
autobazar,AeVuCs42yZY,Škoda Kodiaq Scout SUV 4x4 2.0 TDi 140kw AT 7,Škoda,Kodiaq,2.0 TDI,Diesel,2020,77200,140,Automatic,SUV,25900,https://www.autobazar.eu/detail/skoda-kodiaq-scout-suv-4x4-20-tdi-140kw-at-7/AeVuCs42yZY/,structured,structured,structured,structured,structured,structured,regex_title,match,match,n/a,match,match,n/a,n/a
autobazar,AewC-L76nJf,Škoda Kodiaq 2.0 TDI SCR EVO 200 Style 4x4 DSG 147kW201HP A7,Škoda,Kodiaq,2.0 TDI,Diesel,2021,68300,147,Automatic,SUV / Off-road,29999,https://www.autobazar.eu/detail/skoda-kodiaq-20-tdi-scr-evo-200-style-4x4-dsg-147kw201hp-a7/AewC-L76nJf/,structured,structured,structured,structured,structured,structured,regex_title,match,match,n/a,match,match,n/a,n/a
autobazar,AeOzeRCjmTp,Škoda Kodiaq 2.0 TDI SCR Ambition DSG 110kW150HP A7,Škoda,Kodiaq,2.0 TDI,Diesel,2020,158800,110,Automatic,SUV / Off-road,21990,https://www.autobazar.eu/detail/skoda-kodiaq-20-tdi-scr-ambition-dsg-110kw150hp-a7/AeOzeRCjmTp/,structured,structured,structured,structured,structured,structured,regex_title,match,match,n/a,match,match,n/a,n/a
autobazar,Aeo0mdiZG5G,Škoda Kodiaq 2.0 TDI SCR EVO 200 Style 4x4 DSG 147kW201HP A7,Škoda,Kodiaq,2.0 TDI,Diesel,2022,102000,147,Automatic,SUV / Off-road,28500,https://www.autobazar.eu/detail/skoda-kodiaq-20-tdi-scr-evo-200-style-4x4-dsg-147kw201hp-a7/Aeo0mdiZG5G/,structured,structured,structured,structured,structured,structured,regex_title,match,match,n/a,match,match,n/a,n/a
autobazar,Ae-oG16aRFS,Škoda Kodiaq 2.0 TDI SCR EVO Style DSG 110kW150HP A7,Škoda,Kodiaq,2.0 TDI,Diesel,2021,160000,110,Automatic,SUV / Off-road,22190,https://www.autobazar.eu/detail/skoda-kodiaq-20-tdi-scr-evo-style-dsg-110kw150hp-a7/Ae-oG16aRFS/,structured,structured,structured,structured,structured,structured,regex_title,match,match,n/a,match,match,n/a,n/a
autobazar,Ae1IsmNPuTJ,Škoda Kodiaq 2.0 TDI SCR EVO 200 LK 4x4 DSG 147kW201HP A7,Škoda,Kodiaq,2.0 TDI,Diesel,2023,85200,147,Automatic,SUV / Off-road,35490,https://www.autobazar.eu/detail/skoda-kodiaq-20-tdi-scr-evo-200-lk-4x4-dsg-147kw201hp-a7/Ae1IsmNPuTJ/,structured,structured,structured,structured,structured,structured,regex_title,match,match,n/a,match,match,n/a,n/a
autobazar,AecQZ_n2wBT,Škoda Kodiaq 2.0 TDI SCR 190k Style DSG 4x4 140kW190HP A7,Škoda,Kodiaq,2.0 TDI,Diesel,2018,114200,140,Automatic,SUV / Off-road,21600,https://www.autobazar.eu/detail/skoda-kodiaq-20-tdi-scr-190k-style-dsg-4x4-140kw190hp-a7/AecQZ_n2wBT/,structured,structured,structured,structured,structured,structured,regex_title,match,match,n/a,match,match,n/a,n/a
autobazar,AeZw5jBniGq,Škoda Kodiaq 2.0 TDI SCR EVO 200 Sportline 4x4 DSG 147kW201HP A7,Škoda,Kodiaq,2.0 TDI,Diesel,2021,90150,147,Automatic,SUV / Off-road,30190,https://www.autobazar.eu/detail/skoda-kodiaq-20-tdi-scr-evo-200-sportline-4x4-dsg-147kw201hp-a7/AeZw5jBniGq/,structured,structured,structured,structured,structured,structured,regex_title,match,match,n/a,match,match,n/a,n/a
autobazar,AeSzuwP3Q90,Škoda Kodiaq 2.0 TDI SCR RS DSG 4x4 176kW239HP A7,Škoda,Kodiaq,2.0 TDI,Diesel,2020,169000,176,Automatic,SUV / Off-road,26490,https://www.autobazar.eu/detail/skoda-kodiaq-20-tdi-scr-rs-dsg-4x4-176kw239hp-a7/AeSzuwP3Q90/,structured,structured,structured,structured,structured,structured,regex_title,match,match,n/a,match,match,n/a,n/a
autobazar,AeZVReqsDMa,Škoda Kodiaq 7 miestne top stav bez škrabancov 2 sady pneu letne zimné,Škoda,Kodiaq,,Diesel,2023,68500,110,Automatic,SUV,27999,https://www.autobazar.eu/detail/skoda-kodiaq-2023/AeZVReqsDMa/,structured,structured,structured,structured,structured,structured,regex_title,match,match,n/a,match,match,n/a,n/a
autobazar,AeiAX4qS7CE,Škoda Kodiaq 2.0 TDI SCR 190k Scout 4x4 DSG 140kW190HP A7,Škoda,Kodiaq,2.0 TDI,Diesel,2020,148000,140,Automatic,SUV / Off-road,25900,https://www.autobazar.eu/detail/skoda-kodiaq-20-tdi-scr-190k-scout-4x4-dsg-140kw190hp-a7/AeiAX4qS7CE/,structured,structured,structured,structured,structured,structured,regex_title,match,match,n/a,match,match,n/a,n/a
autobazar,AmW-qgoqZoc,Škoda Kodiaq 2.0 TDI SCR EVO Ambition DSG,Škoda,Kodiaq,2.0 TDI,Diesel,2022,144809,110,Automatic,SUV,24490,https://www.autobazar.eu/detail/skoda-kodiaq-20-tdi-scr-evo-ambition-dsg/AmW-qgoqZoc/,structured,structured,structured,structured,structured,structured,regex_title,match,match,n/a,match,match,n/a,n/a
autobazar,Am0Zpig72QL,Škoda Kodiaq 2.0 TDI SCR EVO Sportline DSG,Škoda,Kodiaq,2.0 TDI,Diesel,2022,181443,110,Automatic,SUV,27400,https://www.autobazar.eu/detail/skoda-kodiaq-20-tdi-scr-evo-sportline-dsg/Am0Zpig72QL/,structured,structured,structured,structured,structured,structured,regex_title,match,match,n/a,match,match,n/a,n/a
autobazar,Am9Ned_LLSf,Škoda Kodiaq 2.0 TDI SCR Ambition DSG,Škoda,Kodiaq,2.0 TDI,Diesel,2021,101980,110,Automatic,SUV,23999,https://www.autobazar.eu/detail/skoda-kodiaq-20-tdi-scr-ambition-dsg/Am9Ned_LLSf/,structured,structured,structured,structured,structured,structured,regex_title,match,match,n/a,match,match,n/a,n/a
autobazar,AmTh_nZrSoP,Škoda Kodiaq 2.0 TDI SCR EVO 200 Sportline 4x4 DSG,Škoda,Kodiaq,2.0 TDI,Diesel,2022,143600,147,Automatic,SUV,33990,https://www.autobazar.eu/detail/skoda-kodiaq-20-tdi-scr-evo-200-sportline-4x4-dsg/AmTh_nZrSoP/,structured,structured,structured,structured,structured,structured,regex_title,match,match,n/a,match,match,n/a,n/a
