row_index,brand,model,variant,fuel,year,km,power_kw,inventory_price_eur,ab_comparable_count,ab_median_eur,ab_price_diff_pct,bz_comparable_count,bz_median_eur,bz_price_diff_pct,ab_vs_bz_pct_gap,median_spread_pct,rank_source,rank_price_diff_pct,confidence_flag,sample_sufficient,missing_critical_fields,ab_tier,bz_tier,confidence_reasons,ab_example_links,bz_example_links
77,VW,ID.3,EL Life 204HK 5d Aut,Electric,2021,213000,150.0,9000,9,17500.0,48.6,4,16195.0,44.4,4.2,7.5,autobazar,48.6,HIGH,True,none,moderate,moderate,both sources usable (AB 9/BZ 4); median spread 7% <= 15%; inventory + comparable data complete,https://www.autobazar.eu/detail/volkswagen-id3-performance-upgrade-58kwh-1st-plus/AmNZRcesrGo/ | https://www.autobazar.eu/detail/volkswagen-id3-pro-150kw-alu-18-acc-full-led/Am53lCK6XEh/ | https://www.autobazar.eu/detail/volkswagen-id3-performance-upgrade-58kwh-1st/AmAGz58aLBS/,https://auto.bazos.sk/inzerat/194283868/volkswagen-id3-1st-plus-150kw-soh-926.php | https://auto.bazos.sk/inzerat/194316467/vw-id3-1st-edition-150kw-62kwh-2020.php | https://auto.bazos.sk/inzerat/194072870/vw-id-3-1-st-150-kw.php
35,Volkswagen,Golf,1.5 148HP Automatic Comfortline,Petrol,2019,207000,109.0,7500,3,10300.0,27.2,5,13900.0,46.0,-18.8,25.9,bazos,46.0,MEDIUM,True,none,broad,broad,"single usable source (AB 3/BZ 5); no cross-check; sample n=5, data complete",https://www.autobazar.eu/detail/vw-golf-10-tsi-klima-tempomat/AeL4UqZOH00/ | https://www.autobazar.eu/detail/volkswagen-golf-7-variant-highline-15-tsi-110kw-dsg-alu-17/AmVqzVTPvRW/ | https://www.autobazar.eu/detail/volkswagen-golf-style-15-tsi-110kw-alu-18-zimni-sada/Am1b-pTjq5g/,https://auto.bazos.sk/inzerat/194395619/volkswagen-golf-combi-15tsi-dsg-r-line-rv2021-174tis-km.php | https://auto.bazos.sk/inzerat/194207418/volkswagen-golf-14-tsi-bmt-comfortline-eu6-m6.php | https://auto.bazos.sk/inzerat/194323806/volkswagen-golf-7-variant-14-tsi-r-line-92kw-2016.php
29,Nissan,Qashqai,"1,3 Dig-T 140 HK N-Connecta",Petrol,2021,66000,103.0,13000,3,23500.0,44.7,1,15999.0,18.7,26.0,31.9,autobazar,44.7,INSUFFICIENT,False,none,broad,broad,"no source reaches 4 comparables (AB n=3, BZ n=1)",https://www.autobazar.eu/detail/nissan-qashqai-15-e-power-190-hev-tekna-116kw158hp-a1/AeMyM-70F0H/ | https://www.autobazar.eu/detail/nissan-qashqai-2021/AetwDLvzor7/ | https://www.autobazar.eu/detail/nissan-qashqai-13-dig-t-158-mild-hybrid-n-connecta/AmLpnrt3nXa/,https://auto.bazos.sk/inzerat/193523185/nissan-qashqai-n-way-13-benzin-103kwm62021.php
6,Toyota,Auris,1.8 98HP Manual H2 Premium,Hybrid,2015,150000,72.0,7200,4,12822.5,43.8,3,7300.0,1.4,42.4,43.1,autobazar,43.8,MEDIUM,True,none,moderate,broad,"single usable source (AB 4/BZ 3); no cross-check; sample n=4, data complete",https://www.autobazar.eu/detail/toyota-auris-18-i-vvt-i-hybridsd-active-family-73kw99hp-a1/Ae4sVj12Z3P/ | https://www.autobazar.eu/detail/toyota-auris-2017/AeySZuKHjOt/ | https://www.autobazar.eu/detail/toyota-auris-18-hybridkameraaut-klima/AbxWRyFgaZE/,https://auto.bazos.sk/inzerat/194454129/toyota-auris-14-66kw-d4d.php | https://auto.bazos.sk/inzerat/194399342/predam-toyota-auris-hybrid-2014-s-lpg-plyn.php | https://auto.bazos.sk/inzerat/194370682/toyota-auris-combi-18-hybrid.php
82,Volkswagen,Passat,1.4 148HP Automatic Highline,Petrol,2018,254100,109.0,8500,1,15000.0,43.3,0,,,,,autobazar,43.3,INSUFFICIENT,False,none,broad,broad,"no source reaches 4 comparables (AB n=1, BZ n=0)",https://www.autobazar.eu/detail/volkswagen-passat-sedan-14tsi-bluemotion/Ae-O99Mr1AC/,
4,Toyota,Rav4,2.5  Automatic H3 Selected,Hybrid,2019,93545,,17000,9,29990.0,43.3,3,26900.0,36.8,6.5,10.3,autobazar,43.3,MEDIUM,True,none,broad,broad,"single usable source (AB 9/BZ 3); no cross-check; sample n=9, data complete",https://www.autobazar.eu/detail/toyota-rav4-25-hybrid-e-cvt-selection-fwd-131kw176hp-a1/AevJbDwVFCg/ | https://www.autobazar.eu/detail/toyota-rav4-25-hybrid-e-cvt-awd-comfort-povodny-lak-92-260km-sr/AmFzGwgwvn_/ | https://www.autobazar.eu/detail/toyota-rav4-25-hybrid-e-cvt-black-edition-awd-131kw176hp-a1/AeFmmK5bOim/,https://auto.bazos.sk/inzerat/194004541/toyota-rav4.php | https://auto.bazos.sk/inzerat/194372892/toyota-rav4-25-hybrid-e-cvt-awd-comfort-povodny-lak-sr.php | https://auto.bazos.sk/inzerat/193577804/toyota-rav4-25hybrid-awd-executive-4x4-top-stav.php
89,Nissan,Qashqai,1.3 139HP Manual Visia,Petrol,2021,27845,102.0,13500,2,23745.0,43.1,1,22000.0,38.6,4.5,7.3,autobazar,43.1,INSUFFICIENT,False,none,broad,broad,"no source reaches 4 comparables (AB n=2, BZ n=1)",https://www.autobazar.eu/detail/nissan-qashqai-15-e-power-190-hev-tekna-116kw158hp-a1/AeMyM-70F0H/ | https://www.autobazar.eu/detail/nissan-qashqai-13-dig-t-158-mild-hybrid-n-connecta/AmLpnrt3nXa/,https://auto.bazos.sk/inzerat/193860164/predam-nissan-qashqai.php
55,VW,Polo,"1,4 TDI BMT Highline 90HK 5d",Diesel,2014,280000,66.0,2300,5,3999.0,42.5,2,7000.0,67.1,-24.6,42.9,autobazar,42.5,MEDIUM,True,none,broad,broad,"single usable source (AB 5/BZ 2); no cross-check; sample n=5, data complete",https://www.autobazar.eu/detail/volkswagen-polo-14-tdi-bmt-comfortline-66kw90hp-m5/Aern2VUxiur/ | https://www.autobazar.eu/detail/vw-polo-12-tdi-servkniha/Amv1xwQOdh7/ | https://www.autobazar.eu/detail/volkswagen-polo-16-tdi-90k-comfortline/AmZmj12RMdS/,https://auto.bazos.sk/inzerat/194062782/vw-golf-variant-highline.php | https://auto.bazos.sk/inzerat/194453768/vw-polo-14-tdi-66kw-comfortline-2015-2x-alu-stk-10202.php
39,Skoda,Octavia,2.0 148HP Automatic Style,Diesel,2020,209945,109.0,8800,4,16391.5,46.3,7,14950.0,41.1,5.2,8.8,bazos,41.1,HIGH,True,none,moderate,moderate,both sources usable (AB 4/BZ 7); median spread 9% <= 15%; inventory + comparable data complete,https://www.autobazar.eu/detail/skoda-octavia-20-tdi-automat-navigacia-klima/Ae_aCXLImsJ/ | https://www.autobazar.eu/detail/skoda-octavia-20-tdi-dsg/AeSbpmnuYzp/ | https://www.autobazar.eu/detail/skoda-octavia-4-combi-20-tdi-110kw-dsg-alu-16/Am0DHJnnsJ3/,https://auto.bazos.sk/inzerat/194449539/skoda-octavia-combi-20-tdi-dsg-clever-led-navi-acc-r16.php | https://auto.bazos.sk/inzerat/194358742/skoda-octavia-combi-20-tdi-110-kw-2022-odpocet-dph.php | https://auto.bazos.sk/inzerat/194300069/skoda-octavia-20-tdi-dsg-acc-pano.php
26,Skoda,Kodiaq,1.5 tsi 150 dsg7 7prs style,Petrol,2019,189000,,13600,8,22400.0,39.3,5,21900.0,37.9,1.4,2.2,autobazar,39.3,HIGH,True,none,moderate,moderate,both sources usable (AB 8/BZ 5); median spread 2% <= 15%; inventory + comparable data complete,https://www.autobazar.eu/detail/skoda-kodiaq-15-tsi-act-sportline-dsg-110kw150hp-a7/AepG9p2guyc/ | https://www.autobazar.eu/detail/skoda-kodiaq-15-tsi-act-sportline-110kw150hp-m6/Aep5AQY365s/ | https://www.autobazar.eu/detail/skoda-kodiaq-15-tsi-act-sportline-dsg-110kw150hp-a7/AemT6P7YiCe/,https://auto.bazos.sk/inzerat/194395054/skoda-kodiaq-15tsi-dsg-rv2021-7miestne.php | https://auto.bazos.sk/inzerat/194142374/skoda-kodiaq-sportline15tsi-rv2652021-172tis-km.php | https://auto.bazos.sk/inzerat/194142294/skoda-kodiaq-sportline15tsi-dsg-rv2021-7miestne.php
