row_index,brand,model,variant,fuel,year,km,power_kw,inventory_price_eur,ab_tier,ab_comparable_count,ab_median_eur,ab_price_diff_pct,ab_insufficient,ab_unknown_frac,ab_outliers_trimmed,bz_tier,bz_comparable_count,bz_median_eur,bz_price_diff_pct,bz_insufficient,bz_unknown_frac,bz_outliers_trimmed,median_spread_pct,ab_vs_bz_pct_gap,missing_critical_fields,sample_sufficient,confidence_flag,confidence_reasons,rank_source,rank_price_diff_pct,ab_example_links,bz_example_links,ab_retrieval_error,bz_retrieval_error
43,Mercedes,Gla-Class,1.6 154HP Automatic GLA 200,Petrol,2017,221000,113,9800,broad,4,16300.0,66.3,False,0.0,0,broad,3,10500.0,7.1,True,0.67,0,35.6,59.2,none,True,MEDIUM,"single usable source (AB 4/BZ 3); no cross-check; sample n=4, data complete",autobazar,66.3,https://www.autobazar.eu/detail/mercedes-benz-gla-180-entry-at-90kw122hp-a7/AeHT_JbiwIh/ | https://www.autobazar.eu/detail/mercedes-gla-gla-180-kuze-navi-tempomat/Aml3TJHNMrv/ | https://www.autobazar.eu/detail/mercedes-gla-gla-180-automat-kuze-navi/AmM46QcxsCr/,https://auto.bazos.sk/inzerat/193727520/mercedes-gla-200-d-facelift-automat-kupa-sr.php | https://auto.bazos.sk/inzerat/194436054/mercedes-benz-gla-h247-orig-20-s-letnymi-pneu-7mm.php | https://auto.bazos.sk/inzerat/194475244/mercedes-benz-gla-200-d-4matic-a7-2015-201000km.php,,
49,Audi,A5,1.8 143HP Automatic S-Line,Petrol,2016,219500,105,7500,broad,0,,,True,1.0,0,broad,1,9400.0,25.3,True,1.0,0,,,none,False,INSUFFICIENT,"no source reaches 4 comparables (AB n=0, BZ n=1)",bazos,25.3,,https://auto.bazos.sk/inzerat/194223013/audi-a5-coupe-20-tfsi-2011-132kw-191kw.php,,
50,Ford,S-Max,1.5 159HP Manual Titanium,Petrol,2017,330000,117,3800,broad,0,,,True,1.0,0,broad,10,9149.5,140.8,False,0.5,0,,,none,True,LOW,50% of comparables missing year/km; best sample n=10,bazos,140.8,,https://auto.bazos.sk/inzerat/194460674/ford-s-max-20-tdci-duratorq-150-at-facelift-2015.php | https://auto.bazos.sk/inzerat/194374595/ford-s-max.php | https://auto.bazos.sk/inzerat/194347331/ford-s-max-20-tdci-ecoblue-150-family-at-7miestne.php,,
51,Mercedes,B-Class,1.6 121HP Manual B 180,Petrol,2015,161000,89,6800,broad,2,8050.0,18.4,True,0.0,0,broad,1,16190.0,138.1,True,0.0,0,50.3,-119.7,none,False,INSUFFICIENT,"no source reaches 4 comparables (AB n=2, BZ n=1)",autobazar,18.4,https://www.autobazar.eu/detail/mercedes-b-180-automat1maj-servkniha/Ae8Y2ohg0zp/ | https://www.autobazar.eu/detail/mercedes-b-b-200-automat-servkniha-kuze/Am5huee6hUe/,https://auto.bazos.sk/inzerat/193727520/mercedes-gla-200-d-facelift-automat-kupa-sr.php,,
57,VW,Passat,"2,0 TDI DSG 140HK 6g Aut.",Diesel,2006,386000,103,900,moderate,7,2490.0,176.7,False,0.0,1,broad,3,14499.0,,True,0.67,0,82.8,,none,True,MEDIUM,"single usable source (AB 7/BZ 3); no cross-check; sample n=7, data complete",autobazar,176.7,https://www.autobazar.eu/detail/volkswagen-passat-20-tdi-comfortline-dsg-103kw140hp-a6/AeEi7xXqd0r/ | https://www.autobazar.eu/detail/vw-passat-19-tdi-automat-po-stk-klima/AmSxpL5Qjop/ | https://www.autobazar.eu/detail/vw-passat-20-tdi-klima-tempomat/AmtM6FKh521/,https://auto.bazos.sk/inzerat/194432957/vw-passat-b85-20-tdi-110-kw-dsg.php | https://auto.bazos.sk/inzerat/193817915/volkswagen-passat-variant-20-tdi-dsg103-kw-2-sady-kolies.php | https://auto.bazos.sk/inzerat/193956701/volkswagen-passat-b8-combi-dsg-20-tdi-90kw.php,,
73,BMW,3 Series,2.0 182HP Automatic 320i,Petrol,2019,115000,134,14000,broad,3,23999.0,71.4,True,0.0,0,broad,2,18944.5,35.3,True,1.0,0,21.1,36.1,none,False,INSUFFICIENT,"no source reaches 4 comparables (AB n=3, BZ n=2)",autobazar,71.4,https://www.autobazar.eu/detail/bmw-rad-3-320i-xdrive-at-135kw184hp-a8/Ae8-5c7q1Yo/ | https://www.autobazar.eu/detail/bmw-rad-3-320i-xdrive-m-sport-shadow-at-135kw184hp-a8/AeNm7uoRdjn/ | https://www.autobazar.eu/detail/bmw-rad-3-320i-xdrive-at-135kw183hp-a8/AexlfLb-TCz/,https://auto.bazos.sk/inzerat/194348164/bmw-320d-xdrive-msport.php | https://auto.bazos.sk/inzerat/193485592/bmw-3-320d-xdrive.php,,
74,BMW,318d,"Touring 2,0 D 143HK Stc 6g",Diesel,2009,388000,105,1600,moderate,5,5000.0,212.5,False,0.0,0,broad,6,6199.5,287.5,False,0.67,3,19.3,-75.0,none,True,MEDIUM,"moderate source disagreement 19%; sample n=6, data complete",bazos,287.5,https://www.autobazar.eu/detail/bmw-rad-3-touring-318d-touring-105kw143hp-m6/Ae0CUmJiSG-/ | https://www.autobazar.eu/detail/bmw-rad-3-318d/Am1D4R8EZpE/ | https://www.autobazar.eu/detail/bmw-rad-3-touring-318d/Am26qrOEzdL/,https://auto.bazos.sk/inzerat/194071361/bmw-e91-318d-m-paket-sport-edition.php | https://auto.bazos.sk/inzerat/194368185/bmw-e91-320d-m47.php | https://auto.bazos.sk/inzerat/193710607/predam-bmw-318d-e91.php,category slug bmw/318d 404 -> keyword fallback,
78,BMW,2 Series,1.5 108HP Manual 216i,Petrol,2020,125000,79,9000,broad,0,,,True,1.0,0,broad,6,20894.0,132.2,False,1.0,0,,,none,True,LOW,100% of comparables missing year/km; best sample n=6,bazos,132.2,,https://auto.bazos.sk/inzerat/194340707/bmw-218i-gran-coupe-2020-57-970-km-17-900-e.php | https://auto.bazos.sk/inzerat/194334414/predam-bmw-218i-active-tourer-nepojazdne.php | https://auto.bazos.sk/inzerat/193841982/bmw-730ld-m-paket-2021-84-000-km-odpocet-dph.php,category slug bmw/2-series 404 -> keyword fallback,
80,Volkswagen,Touran,1.4 148HP Automatic Comfortline,Petrol,2018,146600,109,12200,broad,4,15390.0,26.1,False,0.0,0,broad,1,3700.0,-69.7,True,1.0,0,76.0,95.8,none,True,MEDIUM,"single usable source (AB 4/BZ 1); no cross-check; sample n=4, data complete",autobazar,26.1,https://www.autobazar.eu/detail/volkswagen-touran-14-tsi-bmt-comfortline-dsg/AeU994ZwAj04/ | https://www.autobazar.eu/detail/volkswagen-touran-15-tsi-opf-act-comfortline-dsg-110kw150hp-a7/AeeZ4EC7GzL/ | https://www.autobazar.eu/detail/volkswagen-touran-14-tsi-bmt-highline-dsg/Amj3eu-HZXe/,https://auto.bazos.sk/inzerat/193594816/volkswagen-touran-14-tsi-family.php,,
87,Mercedes,A-Class,1.6 155HP Automatic A 200,Petrol,2017,154000,114,9500,broad,3,20200.0,112.6,True,0.0,0,broad,0,,,True,1.0,0,,,none,False,INSUFFICIENT,"no source reaches 4 comparables (AB n=3, BZ n=0)",autobazar,112.6,https://www.autobazar.eu/detail/mercedes-benz-a-trieda-a-180-at-100kw136hp-a7/AeHnm-D8qad/ | https://www.autobazar.eu/detail/mercedes-benz-a-trieda-a-200-at-120kw163hp-a7/AeLhvUyfzRM/ | https://www.autobazar.eu/detail/mercedes-benz-a-trieda-180-t/Amcoj4NROl5/,,,
